id_producto,id_categoria
1610,7
2478,2
2519,3
4734,8
4414,3
1512,7
2246,2
1850,2
4939,9
2241,8
1979,8
2975,3
2713,3
2276,2
2317,3
4969,9
15,2
2929,8
2667,8
3104,9
2271,8
3005,3
2743,3
2784,4
2481,3
406,8
10,8
307,2
348,3
3396,9
3000,9
2697,8
3175,10
3134,9
2738,9
3472,4
3210,4
436,8
3502,4
3240,4
2978,4
903,9
466,8
1375,4
542,3
676,3
3235,10
3369,10
3969,5
3707,5
933,9
1067,9
671,9
234,8
4482,1
1405,4
747,4
3661,10
3003,10
4436,6
4570,6
3871,5
963,9
4908,1
4512,1
4250,1
1738,5
1476,5
1173,4
3429,10
4600,6
4204,6
4641,7
4338,6
3942,6
1430,10
1564,10
4979,2
906,10
4676,1
4280,1
1203,4
1244,5
1640,5
2281,1
4933,7
4630,6
4671,7
4234,6
4368,6
3972,6
1856,10
1594,10
1198,10
936,10
4706,1
4310,1
1973,6
2311,1
4835,7
4398,6
4439,7
1362,10
2399,6
1700,5
2137,6
2912,2
2475,1
2213,1
2866,7
2604,7
2639,1
168,6
302,6
4936,8
244,1
2896,7
2197,6
2372,7
3368,2
3409,3
2972,2
2669,1
594,6
332,6
373,7
670,1
2798,7
3701,3
3398,2
3439,3
3136,2
2740,2
3177,3
479,2
176,1
3090,7
3131,8
3265,8
2869,8
4302,4
3603,3
1091,7
829,7
433,7
905,2
3598,9
3161,8
4332,4
3674,4
3237,3
1296,8
900,8
859,7
201,7
1634,3
935,2
4461,10
3628,9
4024,9
3762,9
4362,4
4537,5
1326,8
930,8
1763,9
1798,3
1402,3
1536,3
4491,10
4095,10
4829,5
4567,5
1793,9
1531,9
2131,4
2265,4
1432,3
1869,4
4521,10
4597,5
1823,9
1124,8
1561,9
1299,9
2557,4
2295,4
2033,4
2686,10
2290,10
2424,10
1987,9
2628,5
2325,4
2063,4
4832,6
2017,9
2058,10
2454,10
2192,10
2396,5
2134,5
18,9
3567,1
3171,1
94,4
3259,6
2997,6
89,10
3731,1
3289,6
3464,7
253,10
3802,2
3499,1
3103,1
725,5
766,6
463,5
67,5
3494,7
3191,6
417,10
4228,2
1058,6
359,5
534,6
1134,1
4223,8
3658,7
3262,7
4299,3
3996,2
3600,2
4037,3
1525,7
826,6
1263,7
564,6
1601,2
902,1
1036,1
4428,9
3729,8
4725,3
4329,3
4463,3
4067,3
4026,2
1951,7
1689,7
2027,2
1765,2
4417,8
4458,9
4021,8
4854,9
4493,3
2022,8
2156,8
1457,7
1061,7
4622,9
4185,8
4826,4
4698,4
2320,8
2658,3
2699,4
1959,2
4914,9
222,2
4652,9
4594,4
2216,8
2350,8
1954,8
2991,4
3125,4
2729,4
2688,3
2426,3
2030,3
427,3
31,3
2380,8
2817,9
2159,9
3417,4
2759,4
2497,4
457,3
3284,10
2888,10
2451,9
3488,5
2964,5
586,9
190,9
924,4
3576,10
3180,10
2918,10
3693,6
3256,5
2953,4
4165,1
954,4
1088,4
3082,10
4119,6
3420,5
3024,5
1479,10
4061,1
4586,7
4283,6
3625,6
4621,1
927,5
4616,7
3917,6
4354,7
4051,6
4954,2
881,10
4389,1
2390,1
1994,1
4646,7
4821,8
4518,7
1307,10
4722,2
4856,2
2344,6
1686,6
1820,6
1424,6
2420,1
2461,2
4810,7
4851,8
4589,8
4927,3
2112,6
2549,7
1850,6
2188,1
2789,2
790,2
353,1
2347,7
3780,3
3518,3
3122,3
2860,3
744,7
45,6
86,7
383,1
861,3
424,2
3513,9
3076,8
3210,8
2814,8
3851,4
3985,4
3286,3
815,8
378,7
553,8
116,7
454,2
891,3
3939,9
3543,9
3677,9
2844,8
3281,9
4277,4
4015,4
3619,4
3316,3
3357,4
1241,8
979,8
583,8
146,7
280,7
659,3
4010,10
3707,9
3748,10
3311,9
3270,8
3049,9
4482,5
4045,4
1271,8
1446,9
1050,9
747,8
689,3
3778,10
3475,9
3813,4
1342,9
1476,9
1080,9
1418,4
3808,10
3942,10
3546,10
4979,6
4542,5
4717,6
4280,5
3884,5
4018,5
1943,10
1110,9
1244,9
2019,5
3972,10
4747,6
2369,10
4823,1
2445,5
2008,4
2137,10
2737,5
3116,1
2592,1
3204,6
2942,6
2983,7
2243,5
2284,6
3275,7
3409,7
2576,6
2710,6
3747,2
3485,2
2652,1
2786,1
711,6
12,5
1049,1
1183,1
787,1
3043,7
1137,6
741,6
479,6
176,5
1475,1
951,1
3772,8
4302,8
3644,8
3982,3
3679,2
1208,7
1546,2
1243,1
847,1
981,1
1022,2
4332,8
4670,3
4146,3
1972,2
1710,2
1314,2
1448,2
4362,8
4875,4
4479,4
4438,3
4176,3
4217,4
1664,7
1705,8
1839,8
1402,7
1140,7
2177,3
1915,3
4608,10
4509,4
1432,7
1211,8
1811,3
4597,9
4201,9
4976,5
4673,4
1503,8
2412,4
1579,3
1975,3
2109,3
4668,10
2803,10
64,8
140,3
181,4
2396,9
2571,10
2909,5
2606,4
473,4
607,4
3259,10
2560,9
2601,10
3638,6
3335,5
2939,5
3073,5
299,9
3714,1
1074,5
637,4
3289,10
2631,10
3668,6
3802,6
3406,6
3365,5
632,10
766,10
4140,1
3744,1
3878,1
3832,6
3436,6
3570,6
534,10
3908,1
4345,2
3646,1
1134,5
738,5
1647,1
4561,7
3734,6
3938,1
4072,1
4113,2
1997,6
1036,5
2114,2
4329,7
4067,7
3805,7
2027,6
1107,6
2540,2
1707,1
1841,1
1445,1
4930,8
4534,8
4831,2
4569,2
2232,7
1871,1
1912,2
2262,7
1604,7
3037,3
2641,3
2600,2
2338,2
1942,2
339,2
77,2
2595,8
2729,8
2333,8
2030,7
3067,3
2805,3
427,7
31,7
3062,9
2363,8
3097,3
3231,3
3272,4
498,8
195,7
533,2
970,3
271,2
3226,9
3302,4
2865,3
3040,4
528,8
225,7
866,3
563,2
1000,3
301,2
342,3
3693,10
3769,5
3466,4
558,8
692,8
733,9
296,8
1467,4
1071,4
372,3
4119,10
3420,9
3461,10
4236,6
3537,5
1025,9
722,8
326,8
763,9
1759,4
798,3
1235,4
3450,9
3625,10
4528,6
4266,6
1492,10
1189,9
1626,10
531,9
1527,4
869,4
3917,10
3521,10
4954,6
1918,10
1219,9
1994,5
2128,5
4460,6
4897,7
1686,10
1290,10
1820,10
4798,1
4932,1
2461,6
2158,5
1762,5
2199,6
2275,1
4927,7
2887,6
2229,6
3004,2
2701,1
2305,1
2655,6
2696,7
3092,7
3296,2
2993,1
3034,2
2772,2
732,1
3384,7
3122,7
2726,7
3460,2
2802,2
686,6
162,6
762,1
896,1
500,1
3152,7
2890,7
3665,3
3228,2
3362,2
757,7
1287,7
454,6
588,6
192,6
1229,2
3753,8
4394,4
3695,3
3433,3
1358,8
1055,7
1655,2
956,1
1131,2
4482,9
3824,9
3387,8
4820,4
4424,4
3725,3
3859,3
1347,7
1388,8
1085,7
1126,8
689,7
1726,3
1423,2
1202,3
4512,9
4116,9
4553,10
4151,3
4629,5
4326,4
1552,8
1115,7
1156,8
894,8
2327,4
1931,4
1628,3
4845,10
4583,10
4018,9
2281,9
1885,9
1186,8
1623,9
1320,8
4613,10
4310,9
4351,10
4747,10
2049,9
1653,9
2824,5
1991,4
2125,4
4381,10
2778,10
2912,10
2516,10
2079,9
3250,5
2155,4
2289,4
214,9
156,4
2808,10
2546,10
2680,10
2884,5
3018,5
3059,6
3659,1
582,4
361,5
2576,10
2314,10
3485,6
3048,5
2786,5
315,10
3823,1
653,5
787,5
350,4
88,4
3515,6
3119,6
3556,7
3253,6
479,10
4290,2
3195,1
555,5
1592,1
1330,1
4244,7
3848,7
3545,6
3283,6
509,10
3621,1
585,5
1756,1
4315,8
4449,8
4012,7
3750,7
3354,7
4787,3
4088,2
1314,6
918,6
1052,6
2089,2
1786,1
4741,8
4479,8
4817,3
4118,2
2043,7
1478,6
1082,6
2119,2
1857,2
1554,1
4509,8
4946,9
4643,8
4585,3
2207,7
2248,8
1508,6
1986,8
1549,7
1945,7
2586,3
2324,3
2021,2
1625,2
1975,7
2016,8
1579,7
3012,3
2750,3
2051,2
2092,3
4878,9
2704,8
2745,9
519,3
257,3
3171,9
2775,9
3247,4
2985,4
2548,3
473,8
607,8
683,3
287,3
3638,10
3073,9
4110,5
3714,5
3015,4
3452,5
3149,4
637,8
1074,9
975,3
713,3
754,4
1150,4
317,3
451,3
3802,10
4181,6
3441,4
3482,5
3878,5
708,9
1145,10
446,9
4653,1
1046,4
1180,4
784,4
743,3
3570,10
3512,5
3646,5
1134,9
4549,1
4683,1
4241,6
3938,5
4113,6
